total_participants, male, female 
298, 76.9, 23.1
-, -, -
639, 29.9, 70.1
139, 32.4, 67.6
3.951, 54.7, 45.2
695, 94.2, 5.8
-, -, -
382, 17.5, 82.5
3.215, 45.2, 54.9
618, 93.6, 6.3
-, -, -
-, -, -
801, 48.4, 51.6
370, 69.9, 30
239, 72.3, 27.7
231, 64.1, 35.9
85, 67.1, 32.9
292, 71.9, 28.1
166, 82.7, 17.3
-, -, -
-, -, -
-, -, -
678, 62.6, 37.5
66, 63.6, 36.4
476, 72.4, 27.5
169, 61.6, 39.7
261, 65.1, 34.9
-, -, -
7.438, 5.5, 94.5
275, 55, 45
129, 77.6, 22.5
178, 48, 52
119, 70.1, 29.9
-, -, -
790, 61.5, 38.5
627, 58.2, 41.8
313, 72.6, 27.5
352, 38.6, 61.3
93, 39.6, 60.5
1.560, 49.2, 50.8
485, 54.8, 45.2
1.623, 20.2, 79.9
506, 27, 73
-, -, -
4.108, 92.8, 7.2
79, 26.6, 73.4
-, -, -
820, 83.2, 16.8
1.288, 86.1, 13.9
89, 78.2, 21.8
2.884, 18, 82
716, 18.1, 81.8
10.105, 24.4, 75.7
61, 93.1, 6.9
3.232, 25.3, 74.7
-, -, -
298, 58.3, 41.7
1.587, 39.7, 60.4
1.364, 70, 29.9
108, 63.6, 36.5
579, 57.2, 42.8
4.315, 59.6, 40.5
4.416, 37.2, 62.8
4.069, 37.9, 62
858, 50.8, 49.2
922, 49.8, 50.3
2.963, 31.8, 68.2
886, 33.9, 66.2
1.319, 49.7, 50.4
79, 29.1, 70.9
377, 42.7, 57.3
484, 61.7, 38.2
5.545, 67.6, 32.4
-, -, -
55, 36.4, 63.6
330, 43.3, 56.7
-, -, -
-, -, -
-, -, -
171, 59.6, 40.4
6.429, 42.4, 57.7
3.149, 26.2, 73.8
50, 48, 52
143, 44.5, 55.5
777, 39, 60.9
4.859, 40.4, 59.6
-, -, -
76, 67.1, 32.9
80, 62, 38
22.599, 90.4, 9.6
8.329, 92.1, 7.9
-, -, -
444, 66.5, 33.5
6.867, 65, 35
1.167, 17.3, 82.7
195, 61.5, 38.4
-, -, -
447, 89.6, 10.4
1.186, 10, 89.9
507, 87.4, 12.6
100.187, 63.7, 36.4
-, -, -
5.924, 63.1, 36.9
2.304, 69.2, 30.8
210, 59.6, 40.4
65, 53.8, 46.2
1.734, 55.8, 44.2
276, 64.5, 35.5
1.010, 42.1, 57.9
641, 76.8, 23.2
178, 63.3, 36.7
219, 71.9, 28
-, -, -
319, 91.3, 9.2
195, 82.4, 17.7
79, 92.4, 7.6
240, 88.3, 11.7
247, 92.7, 7.3
599, 83, 17.1
6.579, 72, 28
3.999, 50.2, 51.5
4.403, 77, 23
9.484, 15.4, 84.6
583, 62.2, 37.7
-, -, -
-, -, -
61, 55.4, 44.6
624, 51.7, 48.3
170, 75.6, 24.4
-, -, -
-, -, -
382, 46.5, 53.6
7.958, 26.5, 73.4
7.658, 20.1, 79.9
577, 26.5, 74.6
415, 67.6, 32.4
4.093, 37.5, 62.5
302, 54.7, 45.3
158, 45.1, 54.8
197, 92.9, 7.2
506, 90.5, 9.5
538, 45.6, 54.5
963, 42.4, 57.6
110, 49.8, 50.2
1.562, 15, 85
248, 60.5, 39.5
328, 86.8, 13.3
177, 59.3, 40.7
806, 71.5, 28.5
2.071, 55, 45
7.309, 42, 58
10.004, 42.3, 57.7
379, 88.5, 11.5
459, 92.1, 7.9
-, -, -
-, -, -
142, 59.7, 40.2
150, 81.3, 18.7
473, 76.2, 23.9
8.119, 90.3, 9.7
66.460, 79.9, 20.1
2.571, 94.2, 5.8
2.280, 90.1, 9.9
7.003, 6.6, 93.4
1.694, 45, 55
567, 25.9, 74.1
-, -, -
-, -, -
294, 60.1, 39.9
215, 68.8, 31.2
