job_name,mean_salary,max_salary,min_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_adv.,total_participants,male,female
Aile Hekimi, 9.470, 6.000, 13.570,Tıp, Sağlık Kurumları İşletmeciliği, Sağlık Eğitimi, Endüstri ve Sistem Mühendisliği, Psikoloji, Sağlık, Hizmet, Sigortacılık, Çevre, Güvenlik, İstanbul Üniversitesi (İÜ), Ege Üniversitesi, Trakya Üniversitesi, Uludağ Üniversitesi, Çukurova Üniversitesi, İSİG (İşçi Sağlığı ve İş Güvenliği) Mevzuatı,İşçi Sağlığı ve İş Güvenliği,-, -, -, 19,74.0,1.207, 65.6, 34.4
Akademik Personel, 5.310, 3.800, 7.720,İşletme, Bankacılık ve Sigortacılık (MYO), Bankacılık ve Sigortacılık, Kamu Yönetimi, İktisat, Eğitim, Ticaret, Gıda, Hizmet, Sağlık, Anadolu Üniversitesi, Selçuk Üniversitesi, Marmara Üniversitesi, Süleyman Demirel Üniversitesi, Ege Üniversitesi, C#,C++,Elektrik Motorları,Elektrik/Elektronik,Elektronik Devre Dizaynı,4,2.0,1.340, 55.4, 44.6
Akademisyen, 5.720, 3.440, 8.010,İşletme, Makine Mühendisliği, Kimya, Biyoloji, Elektrik/Elektronik Mühendisliği, Eğitim, Sağlık, Hizmet, Yapı, Bilişim, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Hacettepe Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Adobe Illustrator,AutoCAD,C++,Elektrik/Elektronik,İnsan Kaynakları Yönetimi,13,0.0,1.071, 54.3, 45.8
Aksesuar Tasarımcısı, 4.020, 2.500, 6.650,Moda Tasarımı, Moda ve Tekstil Tasarımı, Kuyumculuk ve Takı Tasarımı (MYO), Moda Tasarımı (MYO), Grafik (MYO), Tekstil, Maden ve Metal Sanayi, Mobilya & Aksesuar, Üretim / Endüstriyel Ürünler, Otomotiv, Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, İstanbul Aydın Üniversitesi, Marmara Üniversitesi, Giresun Üniversitesi, Adobe Illustrator,Adobe Photoshop,AutoCAD,CorelDraw,El Çizimi,4,1.0,274, 25.9, 74.1
Aktif Satış Danışmanı, 2.580, 2.020, 3.220,İşletme, İktisat, Dış Ticaret (MYO), Kamu Yönetimi, İşletme Yönetimi, Tekstil, Ticaret, Ev Eşyaları, Gıda, Telekomünikasyon, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Selçuk Üniversitesi, Kocaeli Üniversitesi, Atatürk Üniversitesi, AutoCAD,Satış Yönetimi,-, -, -, 449,160.0,110.627, 45.3, 54.7
Aktif Satış Elemanı, 2.700, 2.020, 3.470,İşletme, İktisat, Kamu Yönetimi, Dış Ticaret (MYO), Maliye, Tekstil, Gıda, Ticaret, Sağlık, Hizmet, Anadolu Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Atatürk Üniversitesi, AutoCAD,Satış Yönetimi,-, -, -, 200,185.0,36.584, 52.9, 47.1
Aktif Satış Temsilcisi, 3.150, 2.020, 4.500,İşletme, İktisat, Kamu Yönetimi, Dış Ticaret (MYO), Maliye, Gıda, Tekstil, Sağlık, Telekomünikasyon, Hizmet, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Selçuk Üniversitesi, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, AutoCAD,Genel Muhasebe,Muhasebe,Satış Yönetimi,-, 233,892.0,22.220, 63.6, 36.4
Aktivasyon Elemanı, 2.390, 2.020, 2.790,İşletme, Bilgisayar Teknolojisi ve Programlama (MYO), Muhasebe (MYO), Kamu Yönetimi, İktisat, Telekomünikasyon, Bilişim, Hizmet, İletişim Danışmanlığı, Reklam ve Tanıtım, Anadolu Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Dumlupınar Üniversitesi, Afyon Kocatepe Üniversitesi, BÜRO YÖNETİMİ VE SEKRETERLİK,Müşteri Hizmetleri Operasyon Yönetimi,Satış Yönetimi,Telekomünikasyon,-, 14,0.0,1.847, 23.3, 76.7
Aktivite Müdürü, 3.880, 2.500, 6.040,İşletme, Turizm ve Otel İşletmeciliği (MYO), İktisat, Konaklama ve Turizm İşletmeciliği, Uluslararası İlişkiler, Turizm, Eğlence - Kültür - Sanat, Gıda, Hizmet, Reklam ve Tanıtım, Anadolu Üniversitesi, Selçuk Üniversitesi, İstanbul Üniversitesi (İÜ), Mersin Üniversitesi, Abant İzzet Baysal Üniversitesi, Müşteri Hizmetleri Operasyon Yönetimi,-, -, -, -, 14,0.0,124, 75.6, 24.4
Aktüer, 4.200, 2.320, 9.020,Aktüerya Bilimleri, Matematik, İstatistik, İşletme, Fen Bilgisi Öğretmenliği, Sigortacılık, Mobilya & Aksesuar, Danışmanlık, Üretim / Endüstriyel Ürünler, Sağlık, Hacettepe Üniversitesi, Boğaziçi Üniversitesi, Marmara Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), Anadolu Üniversitesi, C#,C++,Finansal Analiz,Finansal Risk Yönetimi,Genel Muhasebe,7,4.0,52, 46.3, 53.7
Akustik Uzmanı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Alacak Takip Elemanı, 2.610, 2.020, 3.370,İşletme, Adalet Meslek Yüksekokulu (MYO), Adalet (MYO), Bankacılık ve Sigortacılık (MYO), İktisat, Danışmanlık, Finans - Ekonomi, Hizmet, Enerji, Elektrik & Elektronik, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, Sakarya Üniversitesi, Marmara Üniversitesi, Genel Muhasebe,Ön Muhasebe,Photoshop,-, -, 12,2.0,930, 35.8, 64.2
Alakart Garson, 2.720, 2.020, 3.520,Turizm ve Otel İşletmeciliği (MYO), Turizm İşletmeciliği ve Otelcilik, İşletme, Turizm İşletmeciliği, Konaklama ve Turizm İşletmeciliği, Turizm, Gıda, Eğlence - Kültür - Sanat, Hizmet, Bilişim, Anadolu Üniversitesi, Muğla Üniversitesi, Akdeniz Üniversitesi, Selçuk Üniversitesi, Balıkesir Üniversitesi, Futbol,Bilgisayar,Microsoft Office,Spor,Satış ve Pazarlama,117,19.0,14.616, 74, 27.7
Albay, 11.750, 8.000, 16.710,İşletme, Makine Mühendisliği, İnşaat Mühendisliği,  Yönetim ve Organizasyon , Elektrik/Elektronik Mühendisliği, Güvenlik, Taşımacılık, Üretim / Endüstriyel Ürünler, Hizmet, Yapı, Kara Harp Okulu, Hava Harp Okulu, Deniz Harp Okulu, Süleyman Demirel Üniversitesi, Marmara Üniversitesi, Depo Ve Lojistik Yönetimi,İnsan Kaynakları,İnsan Kaynakları Yönetimi,Proje Yönetimi,-, 4,0.0,65, 94.8, 5.2
Algoritma Geliştirme Mühendisi, 6.360, 3.500, 10.710,Elektrik/Elektronik Mühendisliği, Bilgisayar Mühendisliği, Elektronik Mühendisliği, Havacılık ve Uzay Mühendisliği, Endüstri Mühendisliği, Bilişim, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Otomotiv, Hizmet, Orta Doğu Teknik Üniversitesi (ODTÜ), İhsan Doğramacı Bilkent Üniversitesi, Gazi Üniversitesi, Hacettepe Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Adobe Photoshop,C,C#,C++,CSS3,9,1.0,57, 69.7, 30.3
Almanca Öğretmeni, 3.000, 2.090, 3.910,Almanca Öğretmenliği, Alman Dili ve Edebiyatı, Mütercim-Tercümanlık (Almanca) , Çeviribilim, Eğitim Bilimleri, Eğitim, Danışmanlık, Turizm, Hizmet, Tekstil, Hacettepe Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Çukurova Üniversitesi, Anadolu Üniversitesi, Microsoft Office,Resim,Müzik,Microsoft Office Word,Spor,105,26.0,4.034, 18.5, 81.4
Alternatif Kanal Geliştirme Uzmanı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Altyapı Mühendisi, 5.810, 2.650, 8.970,İnşaat Mühendisliği, Çevre Mühendisliği, Makine Mühendisliği, Elektrik/Elektronik Mühendisliği, Jeoloji Mühendisliği, Yapı, Hizmet, Elektrik & Elektronik, Enerji, Bilişim, Yıldız Teknik Üniversitesi (YTÜ), İstanbul Teknik Üniversitesi (İTÜ), Sakarya Üniversitesi, Dokuz Eylül Üniversitesi, Çukurova Üniversitesi, 2D Autocad,ArcGIS,AutoCAD,Hakediş Düzenlenmesi,LAN (Local Area Network),30,3.0,201, 75.1, 24.9
Alüminyum Doğrama Ustası, 3.360, 2.800, 3.990,Makine (MYO), Kamu Yönetimi, İşletme, Gıda Teknolojisi, Elektrik (MYO), Maden ve Metal Sanayi, Yapı, Üretim / Endüstriyel Ürünler, Kimya, Reklam ve Tanıtım, Anadolu Üniversitesi, Gazi Üniversitesi, Kırıkkale Üniversitesi, Dumlupınar Üniversitesi, Fırat Üniversitesi, Elektrik/Elektronik,-, -, -, -, 12,2.0,636, 81.7, 18.3
Alüminyum Küpeşte ustası, -, -, -, Bilgisayar Programcılığı, Makine, Maden ve Metal Sanayi, Yapı, Kimya, -, -, -, -, -, -, -, -, -, -, Üretim,-, -, -, -, -,0.0,74, 75.8, 24.2
