job_name,mean_salary,max_salary,min_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_adv.,total_participants,male,female
Mekatronik Teknikeri, 3.530, 2.020, 5.480,Mekatronik (MYO), Otomotiv (MYO), Kamu Yönetimi, Elektrik (MYO), Endüstriyel Elektronik (MYO), Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Otomotiv, Bilişim, Yapı, Kocaeli Üniversitesi, Gaziosmanpaşa Üniversitesi, Çanakkale 18 Mart Üniversitesi, Sakarya Üniversitesi, Dumlupınar Üniversitesi, ARDUINO,AutoCAD,Baskı Devre Tasarımı,Bilgisayar Destekli Tasarım Araçları,Elektrik Kumanda Panoları,40,8.0,890, 87.3, 12.6
Mekatronik Teknisyeni, 2.820, 2.020, 3.670,Mekatronik (MYO), Otomotiv (MYO), Mekatronik Mühendisliği, Endüstriyel Elektronik (MYO), Makine, Otomotiv, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Bilişim, Gıda, Kocaeli Üniversitesi, Manisa Celal Bayar Üniversitesi, Anadolu Üniversitesi, Adnan Menderes Üniversitesi, Sakarya Üniversitesi, AutoCAD,ELEKTRİK BAKIM ONARIM,Elektrik Kumanda Panoları,Elektrik Motorları,Elektrik Pano,13,8.0,259, 94.3, 5.7
Mekatroniker, -, -, -, Mekatronik (MYO), Otomotiv (MYO), Mekatronik Öğretmenliği, Mekatronik Mühendisliği, Otomotiv Mühendisliği, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Maden ve Metal Sanayi, Kimya, Kocaeli Üniversitesi, Ege Üniversitesi, Gazi Üniversitesi, Aksaray Üniversitesi, Süleyman Demirel Üniversitesi, Adobe Photoshop,AutoCAD,CAD/CAM,Hidrolik ve Pnömatik Sistemler,Otomasyon Sistemleri,-,0.0,79, 90.7, 9.3
Memur, -, -, -, İşletme, İktisat, Kamu Yönetimi, Maliye, Uluslararası İlişkiler, Finans - Ekonomi, Eğitim, Hizmet, Havacılık, Güvenlik, Anadolu Üniversitesi, Selçuk Üniversitesi, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, Gazi Üniversitesi, Ticaret,Biyoyakıtlar,Personel Maliyet,Documantery Programme,•	Deadline And Target Driven,-,4.0,13.876, 52.5, 47.5
Menajer, 3.580, 2.320, 5.230,Radyo - Sinema ve Televizyon, İşletme, İktisat, Uluslararası İlişkiler, Turizm ve Otel İşletmeciliği (MYO), Eğlence - Kültür - Sanat, Medya, Reklam ve Tanıtım, Hizmet, Basım - Yayın, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Beykent Üniversitesi, Sosyal Medya Yönetimi,-, -, -, -, 5,0.0,119, 50.3, 49.7
Mental Aritmetik Öğretmeni, -, -, -, Matematik, Fizik, Biyoloji, İşletme, Kamu Yönetimi, Eğitim, Danışmanlık, Hizmet, Turizm, Basım - Yayın, Anadolu Üniversitesi, Gazi Üniversitesi, Ege Üniversitesi, Kocaeli Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), 2005 - 2007 Ortaöğretim 2007 - 2009 Lise Basketbol Takımında Oynadım,Personel Maliyet,Voleybol, Müzik, Spor İlgi Alanım İçerisinde,Kürek Sporu 1. Ve 2. Lik Dereceleri,0.0,129, 15.2, 84.8
Merchandiser, 3.910, 2.020, 6.130,Tekstil Mühendisliği, İşletme, Kamu Yönetimi, İktisat, Uluslararası İlişkiler, Gıda, Tekstil, Ticaret, Kimya, Perakende, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Ege Üniversitesi, Uludağ Üniversitesi, Marmara Üniversitesi, Adobe Photoshop,Photoshop,SAP,Satış Yönetimi,-, 367,83.0,9.081, 39.6, 60.4
Merchandiser Müdürü, 9.380, 6.500, 13.100,Tekstil Mühendisliği, İşletme, İşletme (İngilizce), Endüstri Mühendisliği, Tekstil (MYO), Tekstil, Perakende, Hızlı Tüketim Malları, Telekomünikasyon, Gıda, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Uludağ Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Bütçe planlama ve raporlama,Dış Ticaret,Marketing communications,Nebim Winner,SAP,12,2.0,150, 37.7, 62.3
Mermer Teknikeri, -, -, -, Mermercilik (MYO), Mermer Teknolojisi (MYO), Maden Mühendisliği, İşletme, Makine (MYO), Maden ve Metal Sanayi, Yapı, Eğitim, Taşımacılık, Turizm, Afyon Kocatepe Üniversitesi, Muğla Üniversitesi, Fırat Üniversitesi, Uludağ Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, 3D Tasarım ve Modelleme Uygulaması,Adobe Photoshop CC,Eta Muhasebe Programı,Silahlı Özel Güvenlik,-, -,0.0,109, 72.7, 27.3
Mermer Ustası , 4.500, 2.500, 8.320,İşletme, İktisat, Dış Ticaret (MYO), Mermercilik (MYO), Kamu Yönetimi, Maden ve Metal Sanayi, Yapı, Üretim / Endüstriyel Ürünler, Mobilya & Aksesuar, Kaynak ve Kesme Ekipmanları, Anadolu Üniversitesi, Adnan Menderes Üniversitesi, Ege Üniversitesi, Selçuk Üniversitesi, Erciyes Üniversitesi, BÜRO YÖNETİMİ VE SEKRETERLİK,Elektrik/Elektronik,Ön Muhasebe,Üst Yapı İnşaatları,-, 10,0.0,492, 78.4, 21.6
Metal İşleri Öğretmeni, -, -, -, Metal Öğretmenliği, Teknik Eğitim, Metalurji ve Malzeme Mühendisliği, Makine (MYO), Malzeme Bilimi ve Mühendisliği, Eğitim, Maden ve Metal Sanayi, Üretim / Endüstriyel Ürünler, Sağlık, Hizmet, Fırat Üniversitesi, Gazi Üniversitesi, Marmara Üniversitesi, Karabük Üniversitesi, Afyon Kocatepe Üniversitesi, AutoCAD,Bilgisayar Destekli Tasarım Araçları,İnsan Kaynakları Yönetimi,İSİG (İşçi Sağlığı ve İş Güvenliği) Mevzuatı,Mekanik Tesisat,-,1.0,138, 92.7, 7.3
Metalograf, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Metalurji ve Malzeme Mühendisi, 3.620, 2.030, 5.260,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 57,0.0,-, -, -
Metalürji Mühendisi, 4.260, 2.020, 6.590,Metalurji ve Malzeme Mühendisliği, Malzeme Bilimi ve Mühendisliği, Metalurji Malzeme (MYO), Makine (MYO), Makine, Maden ve Metal Sanayi, Üretim / Endüstriyel Ürünler, Otomotiv, Hizmet, Ev Eşyaları, Sakarya Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Orta Doğu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), AutoCAD,Döküm,İşçi Sağlığı ve İş Güvenliği,Kalite / AR-GE,Kalite Yönetim Sistemleri,11,14.0,471, 80, 20
Meteoroloji Mühendisi, -, -, -, Meteoroloji Mühendisliği, İnsan Kaynakları, Enerji, Hizmet, Havacılık, -, -, -, -, -, -, -, -, -, -, Algorithms,ArcGIS,CorelDraw,Fortran,İstatistiksel analiz,-,1.0,55, 38.4, 61.6
Metin Yazarı, 3.140, 2.020, 4.370,Halkla İlişkiler ve Reklamcılık, Reklamcılık, Radyo - Sinema ve Televizyon, Halkla İlişkiler ve Tanıtım, Gazetecilik, Reklam ve Tanıtım, Medya, Basım - Yayın, Bilişim, Eğlence - Kültür - Sanat, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Ankara Üniversitesi, Adobe Illustrator,Adobe Photoshop,Dijital Pazarlama,Metin Yazarlığı,Photoshop,54,66.0,1.720, 42.7, 57.3
Metod Mühendisi, 4.180, 2.250, 6.370,Endüstri Mühendisliği, Makine Mühendisliği, Metalurji ve Malzeme Mühendisliği, Kimya Mühendisliği, Talaşlı Üretim Öğretmenliği, Otomotiv, Üretim / Endüstriyel Ürünler, Maden ve Metal Sanayi, Elektrik & Elektronik, Bilişim, Eskişehir Osmangazi Üniversitesi, Uludağ Üniversitesi, Dokuz Eylül Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Manisa Celal Bayar Üniversitesi, 5S,AutoCAD,CATIA,FMEA,Kaizen,36,12.0,652, 63, 37
Miço, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Mihmandar, -, -, -, Uluslararası İlişkiler, İngiliz Dili ve Edebiyatı, İşletme, Rus Dili ve Edebiyatı, İktisat, Reklam ve Tanıtım, Danışmanlık, Turizm, Hizmet, Eğlence - Kültür - Sanat, İstanbul Üniversitesi (İÜ), Akdeniz Üniversitesi, Hacettepe Üniversitesi, Marmara Üniversitesi, Ankara Üniversitesi, Adobe Photoshop,Cari Hesap İşlemleri,Genel Muhasebe,Java,MATLAB,-,0.0,316, 55.8, 44.1
Mikrobiyoloji Analisti, 3.360, 2.090, 4.640,Biyoloji, Gıda Teknolojisi (MYO), Gıda Mühendisliği, Kimya Teknolojisi (MYO), Kimya (MYO), Sağlık, Gıda, Kimya, Çevre, Hizmet, Ege Üniversitesi, Trakya Üniversitesi, Kocaeli Üniversitesi, İstanbul Üniversitesi (İÜ), Selçuk Üniversitesi, Analiz Yöntemleri,GCMS / HPLC,Gıda Mevzuatı,GMP,HACCP,35,37.0,350, 28.6, 71.4
Mikrobiyoloji Uzmanı, 4.710, 2.500, 8.040,Biyoloji, Tıp, Gıda Mühendisliği, Kimya, Tıbbi Laboratuvar (MYO), Sağlık, Gıda, Hizmet, Kimya, Sigortacılık, Ege Üniversitesi, İstanbul Üniversitesi (İÜ), Çanakkale 18 Mart Üniversitesi, Trakya Üniversitesi, Uludağ Üniversitesi, GCMS / HPLC,Gıda Mevzuatı,GMP,ISO 22000 Gıda Güvenliği HACCP,Kalite / AR-GE,30,42.0,262, 34.4, 65.6
Milletvekili, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Mimar, 4.080, 2.020, 6.230,Mimarlık, İç Mimarlık, İnşaat (MYO), Restorasyon (MYO), Peyzaj Mimarlığı, Yapı, Hizmet, Elektrik & Elektronik, Mobilya & Aksesuar, Maden ve Metal Sanayi, Yıldız Teknik Üniversitesi (YTÜ), İstanbul Teknik Üniversitesi (İTÜ), Mimar Sinan Güzel Sanatlar Üniversitesi, Trakya Üniversitesi, Gazi Üniversitesi, 3D Max,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,Adobe Illustrator,Adobe Photoshop,1099,363.0,11.627, 36.5, 63.5
Mimari Tasarımcı, 4.280, 2.250, 6.370,Mimarlık, İç Mimarlık, İnşaat (MYO), İç Mimarlık ve Çevre Tasarımı, Mimari Restorasyon, Yapı, Mobilya & Aksesuar, Reklam ve Tanıtım, Hizmet, Elektrik & Elektronik, İstanbul Teknik Üniversitesi (İTÜ), Anadolu Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Selçuk Üniversitesi, 3D Max,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,3Ds Max,Adobe Illustrator,13,65.0,601, 51.8, 48.2
Mimari Teknik Ressam, 4.180, 2.360, 6.000,İnşaat (MYO), Mimari Restorasyon, Mimarlık, İnşaat Teknolojisi, Restorasyon (MYO), Yapı, Hizmet, Elektrik & Elektronik, Maden ve Metal Sanayi, Mobilya & Aksesuar, Bülent Ecevit Üniversitesi, Anadolu Üniversitesi, Hacettepe Üniversitesi, Selçuk Üniversitesi, Düzce Üniversitesi, 2D Autocad,3D Max,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,Adobe Photoshop,33,5.0,712, 57.9, 42.1
Misafir İlişkileri Müdürü, 4.380, 2.400, 6.380,Turizm ve Otel İşletmeciliği (MYO), İşletme, Turizm İşletmeciliği, Turizm - Otelcilik, Almanca Öğretmenliği, Turizm, Hizmet, Reklam ve Tanıtım, Gıda, Eğlence - Kültür - Sanat, Anadolu Üniversitesi, Ankara Üniversitesi, Dokuz Eylül Üniversitesi, Marmara Üniversitesi, İstanbul Üniversitesi (İÜ), CRM,İş ve süreç analizi,LAN (Local Area Network),Müşteri Hizmetleri Operasyon Yönetimi,Sosyal Medya Yönetimi,14,13.0,490, 24.5, 75.5
Misafir İlişkileri Sorumlusu, 2.840, 2.340, 3.410,Turizm ve Otel İşletmeciliği (MYO), Turizm İşletmeciliği, İşletme, Uluslararası İlişkiler, Konaklama ve Turizm İşletmeciliği, Turizm, Eğlence - Kültür - Sanat, Sağlık, Hizmet, Havacılık, Anadolu Üniversitesi, Akdeniz Üniversitesi, İstanbul Üniversitesi (İÜ), Balıkesir Üniversitesi, Selçuk Üniversitesi, HACCP,-, -, -, -, 13,24.0,1.017, 26.2, 73.8
Mobil Uygulama Geliştiricisi, 5.390, 2.450, 8.330,Bilgisayar Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Yazılım Mühendisliği, Elektrik/Elektronik Mühendisliği, Bilgisayar Programcılığı, Bilişim, Finans - Ekonomi, Telekomünikasyon, Ticaret, Danışmanlık, Sakarya Üniversitesi, Kocaeli Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), İstanbul Teknik Üniversitesi (İTÜ), Anadolu Üniversitesi, Android Programlama,Android Uygulama Geliştirme,C,C#,C++,81,120.0,1.039, 85.1, 14.9
Mobil Vinç Operatörü, 3.890, 2.800, 5.300,İşletme, Kamu Yönetimi, Otomotiv (MYO), Elektrik-Elektronik Teknikerliği (MYO), Muhasebe (MYO), Yapı, Denizcilik, Üretim / Endüstriyel Ürünler, Maden ve Metal Sanayi, Taşımacılık, Anadolu Üniversitesi, Kocaeli Üniversitesi, İnönü Üniversitesi, Mustafa Kemal Üniversitesi, Adıyaman Üniversitesi, Bakım Planlama,Forklift,Forklift Operatörü,Src 2,Tavan Vinç Operatörü,22,9.0,1.088, 91.5, 8.6
Mobil Yazılım Mühendisi, 5.140, 2.700, 8.770,Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcılığı, Matematik Mühendisliği, Bilişim, Finans - Ekonomi, Telekomünikasyon, Turizm, Üretim / Endüstriyel Ürünler, Kocaeli Üniversitesi, Fırat Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Sakarya Üniversitesi, Android Programlama,Android Uygulama Geliştirme,C,C#,C++,8,0.0,136, 85.1, 14.9
Mobil Yazılım Uzmanı, 5.350, 2.100, 8.970,Bilgisayar Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Yazılım Mühendisliği, Bilgisayar Programcılığı, Matematik, Bilişim, Finans - Ekonomi, Telekomünikasyon, Ticaret, Medya, İstanbul Teknik Üniversitesi (İTÜ), Anadolu Üniversitesi, Kocaeli Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), İstanbul Üniversitesi (İÜ), Java,Android Uygulama Geliştirme,JavaScript,C#,Doga Tabiatı,9,120.0,336, 86, 14
Mobilya Ustası, 3.420, 2.280, 4.560,Mobilya ve Dekorasyon (MYO), İşletme, Mobilya ve Dekorasyon Öğretmenliği, İktisat, Makine (MYO), Mobilya & Aksesuar, Yapı, Ofis / Büro Malzemeleri, Turizm, Denizcilik, Anadolu Üniversitesi, Balıkesir Üniversitesi, Sakarya Üniversitesi, Uludağ Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), AutoCAD,Elektrik/Elektronik,MOBİLYA MONTAJ,Montaj,Teknik Resim Okuma,21,9.0,1.264, 82.9, 17.1
Moda Editörü, -, -, -, Moda ve Tekstil Tasarımı, Moda Tasarımı, İşletme (İngilizce), İşletme - Ekonomi, İşletme, Tekstil, Basım - Yayın, Medya, Ticaret, Bilişim, Marmara Üniversitesi, İstanbul Üniversitesi (İÜ), İstanbul Bilgi Üniversitesi, İstanbul Aydın Üniversitesi, Anadolu Üniversitesi, 3D Studio Max,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,CorelDraw,-,0.0,102, 7.9, 92.2
Moda Tasarımcısı, 4.800, 2.180, 7.420,Moda Tasarımı, Moda ve Tekstil Tasarımı, Moda Tasarımı (MYO), Tekstil (MYO), Tekstil Tasarımı, Tekstil, Eğitim, Ev Eşyaları, Ticaret, Perakende, Marmara Üniversitesi, Anadolu Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, Dokuz Eylül Üniversitesi, Gazi Üniversitesi, Adobe Illustrator,Adobe Photoshop,CorelDraw,Dikim,Kalıp,93,86.0,1.942, 12.6, 87.4
Model, 3.570, 2.500, 5.050,İşletme, Siyaset Bilimi ve Kamu Yönetimi, Çalışma Ekonomisi ve Endüstri İlişkileri, İktisat, Moda ve Tekstil Tasarımı, Tekstil, Reklam ve Tanıtım, Medya, Eğitim, Turizm, Anadolu Üniversitesi, Akdeniz Üniversitesi, İstanbul Üniversitesi (İÜ), İstanbul Aydın Üniversitesi, Süleyman Demirel Üniversitesi, Adobe Illustrator,Adobe Photoshop,Dikim,İş Zekası,-, 7,1.0,598, 43.6, 56.3
Modelist  , 4.820, 3.030, 6.610,Tekstil (MYO), Moda Tasarımı (MYO), Moda Tasarımı, Hazır Giyim Öğretmenliği, Moda ve Tekstil Tasarımı (MYO), Tekstil, Ticaret, Ev Eşyaları, Üretim / Endüstriyel Ürünler, Kimya, Anadolu Üniversitesi, Gazi Üniversitesi, Dumlupınar Üniversitesi, Ege Üniversitesi, Marmara Üniversitesi, 3D Tasarım ve Modelleme Uygulaması,Adobe Illustrator,CorelDraw,Dikim,Kalıp,275,106.0,5.957, 18.7, 81.2
Modelist Yardımcısı, 2.460, 2.020, 2.950,Moda Tasarımı (MYO), Tekstil (MYO), Moda Tasarımı, Giyim Üretim Teknolojisi, Moda ve Tekstil Tasarımı (MYO), Tekstil, Ticaret, Ev Eşyaları, Kimya, Üretim / Endüstriyel Ürünler, Marmara Üniversitesi, Anadolu Üniversitesi, Dumlupınar Üniversitesi, İstanbul Aydın Üniversitesi, İstanbul Arel Üniversitesi, Adobe Illustrator,Adobe Photoshop,CorelDraw,Dikim,Kalıp,79,106.0,4.278, 9.1, 90.9
Moderatör, 3.170, 2.150, 4.410,İktisat, İşletme, Uluslararası İlişkiler, Radyo ve Televizyon Programcılığı (MYO), Halkla İlişkiler ve Tanıtım, Bilişim, Medya, Hizmet, Reklam ve Tanıtım, Turizm, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Trakya Üniversitesi, Adobe Illustrator,Adobe Photoshop,Java,JavaScript,jQuery,8,0.0,220, 67, 33
Moleküler Biyolog, 2.940, 2.020, 3.950,Moleküler Biyoloji ve Genetik, Biyoloji, Genetik ve Biyomühendislik, Biyokimya, Biyomühendislik, Sağlık, Hizmet, Eğitim, Gıda, Tarım / Ziraat, İstanbul Üniversitesi (İÜ), Haliç Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), İstanbul Kültür Üniversitesi, Bartın Üniversitesi, Laboratuvar,Mikrobiyoloji,Molecular Biology,-, -, 42,15.0,460, 23, 76.9
Montaj Operatörü, 2.920, 2.020, 3.940,Otomotiv (MYO), İşletme, Elektrik (MYO), Makine (MYO), Makine, Otomotiv, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Ev Eşyaları, Maden ve Metal Sanayi, Anadolu Üniversitesi, Uludağ Üniversitesi, Kocaeli Üniversitesi, Ege Üniversitesi, Dokuz Eylül Üniversitesi, AutoCAD,Elektrik/Elektronik,Makina Montaj,MEKANİK MONTAJ,Montaj,87,134.0,6.326, 69.1, 30.9
Mortgage Danışmanı, -, -, -, İşletme, Kamu Yönetimi, Dış Ticaret (MYO), Halkla İlişkiler, Pazarlama (MYO), Finans - Ekonomi, Hizmet, Gıda, Üretim / Endüstriyel Ürünler, Denizcilik, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Trakya Üniversitesi, Manisa Celal Bayar Üniversitesi, Kocaeli Üniversitesi, Bankacılık/Finans,Mac OS,Muhasebe,-, -, -,0.0,56, 52.4, 47.6
Motor Öğretmeni, -, -, -, Otomotiv Öğretmenliği, Otomotiv (MYO), Makine, Makine (MYO), İşletme, Eğitim, Otomotiv, Danışmanlık, Gıda, Üretim / Endüstriyel Ürünler, Gazi Üniversitesi, Selçuk Üniversitesi, Marmara Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Fırat Üniversitesi, AutoCAD,Bilgisayar Destekli Tasarım Araçları,DOS,Elektrik Elektronik,MasterCAM,-,0.0,100, 90, 10
Motor Teknikeri, -, -, -, Otomotiv (MYO), Makine (MYO), Otomotiv Teknolojisi, Gemi Makineleri İşletme (MYO), Makine, Otomotiv, Enerji, Bilişim, Denizcilik, Elektrik & Elektronik, Uludağ Üniversitesi, Gazi Üniversitesi, Ömer Halisdemir  Üniversitesi, Akdeniz Üniversitesi, Mersin Üniversitesi, Ansys Fluent,Ansys Workbench,AutoCAD,Fortran,MATLAB,-,0.0,301, 88.7, 11.3
Motorlu Kurye, 2.960, 2.020, 3.910,İşletme, Bilgisayar Programcılığı, İktisat, Kamu Yönetimi, Maliye, Gıda, Taşımacılık, Hizmet, Turizm, Sağlık, Anadolu Üniversitesi, Kocaeli Üniversitesi, Uludağ Üniversitesi, İstanbul Üniversitesi (İÜ), Süleyman Demirel Üniversitesi, AutoCAD,-, -, -, -, 453,106.0,5.999, 89.3, 10.7
MR Teknikeri, 2.320, 2.090, 2.560,Tıbbi Görüntüleme Teknikleri, Radyoloji (MYO), Radyoterapi (MYO), Fizik, İşletme, Sağlık, Hizmet, Sigortacılık, Medya, Telekomünikasyon, Marmara Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Çanakkale 18 Mart Üniversitesi, Nişantaşı Üniversitesi, Elektrik/Elektronik,Röntgen,-, -, -, 10,0.0,274, 60.7, 39.3
Muhabir, 2.910, 2.020, 4.180,Gazetecilik, Radyo - Sinema ve Televizyon, Radyo ve Televizyon Programcılığı (MYO), Halkla İlişkiler ve Tanıtım, Medya ve İletişim , Medya, Basım - Yayın, Reklam ve Tanıtım, Hizmet, Telekomünikasyon, İstanbul Üniversitesi (İÜ), Anadolu Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, Marmara Üniversitesi, Adobe Illustrator,Adobe Photoshop,Photoshop,Sosyal Medya,Sosyal Medya Yönetimi,38,13.0,3.318, 49.2, 50.7
Muhasebe Asistanı, 2.690, 2.020, 3.370,İşletme, Muhasebe (MYO), İktisat, Muhasebe, Maliye, Hizmet, Yapı, Gıda, Tekstil, Ticaret, Anadolu Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, İstanbul Üniversitesi (İÜ), Süleyman Demirel Üniversitesi, BİLGİSAYARLI MUHASEBE,Cari Hesap ve Finans Takibi,ETA,Finans,Genel Muhasebe,165,29.0,9.884, 30.6, 69.5
Muhasebe Elemanı, 2.670, 2.020, 3.390,İşletme, Muhasebe (MYO), Muhasebe, İktisat, Maliye, Hizmet, Yapı, Gıda, Tekstil, Otomotiv, Anadolu Üniversitesi, Kocaeli Üniversitesi, Dumlupınar Üniversitesi, Sakarya Üniversitesi, Selçuk Üniversitesi, Cari Hesap ve Finans Takibi,ETA,Genel Muhasebe,LOGO,Luca Muhasebe Programı,2455,2.9210000000000003,103.879, 31.4, 68.6
Muhasebe Müdürü, 5.940, 2.910, 8.970,İşletme, İktisat, Muhasebe (MYO), Muhasebe, Maliye, Yapı, Turizm, Hizmet, Gıda, Tekstil, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Uludağ Üniversitesi, Gazi Üniversitesi, Bilanço analizi,Bordrolama,Bütçe planlama ve raporlama,ETA,Genel Muhasebe,1111,1.179,15.131, 62.9, 37.1
Muhasebe Öğretmeni, 3.230, 2.500, 4.240,İşletme, İktisat, Muhasebe (MYO), Muhasebe ve Finansman Öğretmenliği, Maliye, Eğitim, Hizmet, Danışmanlık, Finans - Ekonomi, Bilişim, Anadolu Üniversitesi, Gazi Üniversitesi, Dumlupınar Üniversitesi, Manisa Celal Bayar Üniversitesi, Selçuk Üniversitesi, BİLGİSAYARLI MUHASEBE,ETA,Finans,Finansal tablo analizi,Genel Muhasebe,4,0.0,739, 26, 74.9
Muhasebe Sorumlusu, 3.480, 2.180, 4.770,İşletme, Muhasebe (MYO), Muhasebe, İktisat, Maliye, Hizmet, Yapı, Gıda, Tekstil, Maden ve Metal Sanayi, Anadolu Üniversitesi, Uludağ Üniversitesi, Dumlupınar Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatı,ETA,Genel Muhasebe,1366,2.764,34.196, 39.4, 60.7
Muhasebe Uzman yardımcısı, 2.970, 2.020, 3.930,İşletme, İktisat, Muhasebe (MYO), Muhasebe, Maliye, Hizmet, Gıda, Yapı, Tekstil, Taşımacılık, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,ETA,Finans,Genel Muhasebe,242,1.874,2.296, 38.4, 61.6
Muhasebe Uzmanı, 3.870, 2.370, 5.360,İşletme, Muhasebe (MYO), İşletme (İngilizce), Muhasebe, İktisat, Hizmet, Yapı, Gıda, Tekstil, Otomotiv, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,ETA,Finans,Genel Muhasebe,1273,3.049,9.282, 45.1, 54.8
Muhasebe ve Finans Müdürü, 6.800, 3.240, 10.360,İşletme, İktisat, Muhasebe (MYO), Muhasebe, Maliye, Yapı, Hizmet, Gıda, Tekstil, Maden ve Metal Sanayi, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Uludağ Üniversitesi, Gazi Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Finans,64,89.0,2.767, 62.5, 37.6
Muhasebe ve Finans Sorumlusu, 3.930, 2.070, 5.790,İşletme, Muhasebe (MYO), İktisat, Muhasebe, Maliye, Yapı, Hizmet, Tekstil, Gıda, Maden ve Metal Sanayi, Anadolu Üniversitesi, Uludağ Üniversitesi, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, Dumlupınar Üniversitesi, Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatı,ETA,Finans,70,281.0,7.056, 40.6, 59.4
Muhasebe ve Raporlama Uzmanı, -, -, -, İşletme, İktisat, Muhasebe (MYO), Maliye, Muhasebe, Hizmet, Gıda, Otomotiv, Enerji, Sağlık, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Balıkesir Üniversitesi, Muğla Üniversitesi, Cari Hesap ve Finans Takibi,ETA,Finansal Raporlama,Genel Muhasebe,Logo Go,-,2.0,278, 48.6, 51.4
